seqname	Status	Subclass (putative)	Domain	Domain architecture simplified
TraesCS1B03G0013600.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1B03G0014300.1	NLR	CC-NLR	(CC)(NBARC)(NBARC)(LRR)	CNNL
TraesCS1B03G0014300.2	NLR	CC-NLR	(CC)(NBARC)(NBARC)(LRR)	CNNL
TraesCS1B03G0017900.1	NLR	CC-NLR	(CC)(NBARC)(NBARC)(LRR)	CNNL
TraesCS1B03G0018800.1	NLR	CC-NLR	(CC)(NBARC)(LRR)(NBARC)(LRR)	CNLNL
TraesCS1B03G0022900.1	degenerate NLR	CC-NLR or CCR-NLR or CCG10-NLR	(PLOOP)(LRR)	PL
TraesCS1B03G0023400.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0023400.2	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0023700.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0023900.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1B03G0024300.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0024400.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0024500.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1B03G0024800.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0025000.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1B03G0025000.2	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0025400.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1B03G0028200.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1B03G0029300.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1B03G0029400.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1B03G0030200.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0030900.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1B03G0031600.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1B03G0032500.1	NLR	CC-NLR	(CC)(NBARC)(LRR)(LRR)	CNL
TraesCS1B03G0032600.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1B03G0036300.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1B03G0036500.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1B03G0038700.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1B03G0041000.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0041100.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0042000.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1B03G0042800.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0043300.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0043700.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0044100.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0045800.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0045800.2	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1B03G0045900.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0051100.1	NLR	CC-NLR	(CC)(NBARC)(NBARC)(LRR)	CNNL
TraesCS1B03G0052600.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1B03G0052700.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1B03G0054200.1	NLR	CC-NLR	(CC)(NBARC)(NBARC)(LRR)	CNNL
TraesCS1B03G0054400.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0054700.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0054700.2	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0055700.2	NLR	CC-NLR	(CC)(NBARC)(NBARC)	CNN
TraesCS1B03G0062100.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1B03G0065600.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1B03G0065600.2	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1B03G0068600.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0068700.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1B03G0068800.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1B03G0070000.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0070700.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1B03G0070900.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0071200.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1B03G0071400.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0072100.1	degenerate NLR	CC-NLR	(CC)(PLOOP)	CP
TraesCS1B03G0072200.1	degenerate NLR	CC-NLR	(CC)(PLOOP)	CP
TraesCS1B03G0073500.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1B03G0087200.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1B03G0089600.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1B03G0093100.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1B03G0093200.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0093200.2	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0093200.3	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0099900.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0099900.2	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1B03G0100000.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0100400.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0111600.1	NLR	CC-NLR	(CC)(NBARC)(LRR)(LRR)	CNL
TraesCS1B03G0111700.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1B03G0113300.1	CCX	CCX	(CC)	C
TraesCS1B03G0113400.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1B03G0192600.1	NLR	CC-NLR	(CC)(NBARC)(NBARC)(LRR)	CNNL
TraesCS1B03G0204400.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0205300.1	NLR	UNDETERMINED	(NBARC)	N
TraesCS1B03G0291400.3	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1B03G0291400.4	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1B03G0303300.1	CCX	CCX	(CC)	C
TraesCS1B03G0303800.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0500400.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0542000.1	NLR	UNDETERMINED	(NBARC)(LRR)	NL
TraesCS1B03G0589200.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1B03G0735200.1	degenerate NLR	CC-NLR or CCR-NLR or CCG10-NLR	(LRR)	L
TraesCS1B03G0735500.1	NLR	UNDETERMINED	(NBARC)(LRR)	NL
TraesCS1B03G0754200.1	NLR	CC-NLR	(CC)(NBARC)(LRR)(LRR)	CNL
TraesCS1B03G0771800.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1B03G0772000.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1B03G0918600.1	degenerate NLR	CC-NLR	(CC)(PLOOP)	CP
TraesCS1B03G0918900.1	degenerate NLR	CC-NLR	(CC)(PLOOP)	CP
TraesCS1B03G0922300.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0933100.1	degenerate NLR	CC-NLR or CCR-NLR or CCG10-NLR	(LRR)	L
TraesCS1B03G0982400.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0982400.2	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1B03G1000900.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1B03G1001700.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G1001700.2	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G1003600.1	degenerate NLR	CC-NLR	(CC)(PLOOP)	CP
TraesCS1B03G1003900.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1B03G1003900.2	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1B03G1003900.3	NLR	UNDETERMINED	(NBARC)	N
TraesCS1B03G1004000.1	NLR	UNDETERMINED	(NBARC)	N
TraesCS1B03G1004100.1	degenerate NLR	CC-NLR	(CC)(PLOOP)	CP
TraesCS1B03G1028500.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G1039400.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)(LRR)	NL
TraesCS1B03G1063500.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G1064700.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)(LRR)	NL
TraesCS1B03G1072200.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1B03G1072300.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1B03G1075400.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G1080400.1	NLR	CC-NLR	(NBARC)(LRR)(LRR)	NL
TraesCS1B03G1080700.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1B03G1083400.1	degenerate NLR	CC-NLR	(CC)(LRR)	CL
TraesCS1B03G1085900.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G1086600.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G1086800.2	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G1086900.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G1086900.2	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G1088200.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1B03G1088300.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1B03G1119700.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1B03G1121800.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G1126000.1	NLR	CC-NLR	(CC)(NBARC)(LRR)(LRR)	CNL
TraesCS1B03G1126100.1	CCX	CCX	(CC)	C
TraesCS1B03G1179600.1	degenerate NLR	UNDETERMINED	(LRR)	L
TraesCS1B03G1179900.1	degenerate NLR	UNDETERMINED	(LRR)	L
TraesCS1B03G1180000.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1B03G1180600.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G1180900.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G1181300.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G1181900.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1B03G1182200.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G1182200.2	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G1182500.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1B03G1182500.2	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G1182600.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G1187800.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)	N
TraesCS1B03G1199400.1	NLR	CC-NLR	(CC)(NBARC)(NBARC)(NBARC)(LRR)	CNNNL
TraesCS1B03G1200000.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1B03G1200200.1	NLR	CC-NLR	(CC)(NBARC)(PLOOP)(PLOOP)(NBARC)(LRR)	CNPPNL
TraesCS1B03G1210500.1	CCX	CCX	(PKin)(CC)	OC
TraesCS1B03G1232800.1	MLKL	MLKL	(MLKL)(PKin)	MO
TraesCS1B03G1235400.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G1243500.1	CCX	CCX	(CC)	C
TraesCS1B03G1243500.2	CCX	CCX	(CC)	C
TraesCS1B03G1243500.3	CCX	CCX	(CC)	C
TraesCS1B03G1247400.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G1247500.1	NLR	CC-NLR	(CC)(NBARC)(LRR)(LRR)	CNL
TraesCS1B03G1247500.2	NLR	CC-NLR	(CC)(NBARC)(LRR)(LRR)	CNL
TraesCS1B03G1247900.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1B03G1248100.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G1252300.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G1252700.1	NLR	CC-NLR	(CC)(NBARC)(LRR)(LRR)	CNL
TraesCS1B03G1252800.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G1252900.1	CCX	CCX	(CC)	C
TraesCS1B03G1253100.1	degenerate NLR	CC-NLR	(CC)(PLOOP)	CP
TraesCS1B03G1253800.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1B03G1253900.1	degenerate NLR	CC-NLR or CCR-NLR or CCG10-NLR	(LRR)	L
TraesCS1B03G1254400.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G1257000.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G1257300.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G1257400.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G1257400.2	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0002900.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1D03G0003600.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1D03G0003900.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0004700.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)	N
TraesCS1D03G0012500.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)(LRR)	NL
TraesCS1D03G0012800.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)	N
TraesCS1D03G0013000.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0013800.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0014700.1	CCX	CCX	(CC)	C
TraesCS1D03G0016200.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0016700.1	degenerate NLR	CC-NLR or CCR-NLR or CCG10-NLR	(PLOOP)(LRR)	PL
TraesCS1D03G0016800.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1D03G0019400.1	CCX	CCX	(CC)	C
TraesCS1D03G0019700.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1D03G0020000.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1D03G0020900.1	NLR	UNDETERMINED	(NBARC)	N
TraesCS1D03G0023700.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0029700.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0029900.1	degenerate NLR	CC-NLR or CCR-NLR or CCG10-NLR	(LRR)	L
TraesCS1D03G0031100.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)	N
TraesCS1D03G0031300.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0032000.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0032300.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0033200.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0033800.1	NLR	UNDETERMINED	(NBARC)	N
TraesCS1D03G0035100.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0035300.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1D03G0036500.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1D03G0036500.2	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1D03G0036700.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1D03G0038300.1	degenerate NLR	CC-NLR or CCR-NLR or CCG10-NLR	(LRR)	L
TraesCS1D03G0038400.1	NLR	CC-NLR	(CC)(NBARC)(NBARC)(LRR)	CNNL
