,0,1,2,3,4,5,6,7,8
1587,Chr1A,IWGSC_v2.1,gene,6834075,6839374,.,-,.,"ID=TraesCS1A03G0025200;curating_team=IWGSC_steuernb;derived_from=TraesCS1A01G009400,BST_chr1A_nlr_91;name=BST_chr1A_nlr_91;Name=TraesCS1A03G0025200;manually_curated=yes;last_modification=2017-01-31T14:16:14;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1A02G009400"
1603,Chr1A,IWGSC_v2.1,gene,7196234,7200940,.,-,.,"ID=TraesCS1A03G0026100;curating_team=IWGSC_steuernb;derived_from=TraesCS1A01G009600,BST_chr1A_nlr_90;name=BST_chr1A_nlr_90;Name=TraesCS1A03G0026100;manually_curated=yes;last_modification=2017-01-31T14:17:58;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1A02G009600"
1617,Chr1A,IWGSC_v2.1,gene,7339396,7346788,.,+,.,"ID=TraesCS1A03G0027200;curating_team=IWGSC_steuernb;derived_from=TraesCS1A01G009900,BST_chr1A_nlr_7;name=BST_chr1A_nlr_7;Name=TraesCS1A03G0027200;manually_curated=yes;last_modification=2017-01-31T14:21:30;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1A02G009900"
1684,Chr1A,IWGSC_v2.1,gene,7524129,7533614,.,-,.,"ID=TraesCS1A03G0027800;curating_team=IWGSC_steuernb;derived_from=TraesCS1A01G010400,BST_chr1A_nlr_89;name=BST_chr1A_nlr_89;Name=TraesCS1A03G0027800;manually_curated=yes;last_modification=2017-01-31T14:23:01;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1A02G010400"
2068,Chr1A,IWGSC_v2.1,gene,8623361,8635717,.,+,.,ID=TraesCS1A03G0032200;Name=TraesCS1A03G0032200;cds=CDS_OK;mapping=GMAP_ON_TARGET;previous_id=TraesCS1A02G013000
2474,Chr1A,IWGSC_v2.1,gene,9965439,9971270,.,-,.,"ID=TraesCS1A03G0038800;curating_team=IWGSC_steuernb;derived_from=TraesCS1A01G016200,BST_chr1A_nlr_87;name=BST_chr1A_nlr_87;Name=TraesCS1A03G0038800;manually_curated=yes;last_modification=2017-02-02T13:59:48;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1A02G016200"
2494,Chr1A,IWGSC_v2.1,gene,10051524,10055292,.,-,.,"ID=TraesCS1A03G0039100;curating_team=IWGSC_steuernb;derived_from=TraesCS1A01G016400,BST_chr1A_nlr_86;name=BST_chr1A_nlr_86;Name=TraesCS1A03G0039100;manually_curated=yes;last_modification=2017-01-31T14:29:19;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1A02G016400"
2664,Chr1A,IWGSC_v2.1,gene,10710567,10713989,.,+,.,"ID=TraesCS1A03G0041800;curating_team=IWGSC_steuernb;derived_from=TraesCS1A01G017800,BST_chr1A_nlr_10;name=BST_chr1A_nlr_10;Name=TraesCS1A03G0041800;manually_curated=yes;last_modification=2017-01-31T14:30:52;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1A02G017800"
2709,Chr1A,IWGSC_v2.1,gene,10913179,10917797,.,+,.,"ID=TraesCS1A03G0042800;curating_team=IWGSC_steuernb;derived_from=TraesCS1A01G018400,BST_chr1A_nlr_11;name=BST_chr1A_nlr_11;Name=TraesCS1A03G0042800;manually_curated=yes;last_modification=2017-02-02T14:03:01;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1A02G018400"
3094,Chr1A,IWGSC_v2.1,gene,11834494,11840648,.,-,.,"ID=TraesCS1A03G0048900;curating_team=IWGSC_steuernb;derived_from=TraesCS1A01G021700,BST_chr1A_nlr_83;name=BST_chr1A_nlr_83;Name=TraesCS1A03G0048900;manually_curated=yes;last_modification=2017-03-02T14:13:55;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1A02G021700"
3112,Chr1A,IWGSC_v2.1,gene,11846705,11856506,.,-,.,"ID=TraesCS1A03G0049000;curating_team=IWGSC_steuernb;derived_from=TraesCS1A01G021800,BST_chr1A_nlr_81;name=BST_chr1A_nlr_81;Name=TraesCS1A03G0049000;manually_curated=yes;last_modification=2017-03-02T14:14:53;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1A02G021800"
3637,Chr1A,IWGSC_v2.1,gene,13648044,13656420,.,-,.,ID=TraesCS1A03G0058100;Name=TraesCS1A03G0058100;cds=CDS_OK;mapping=GMAP_ON_TARGET;previous_id=TraesCS1A02G025500
3642,Chr1A,IWGSC_v2.1,gene,13742969,13751080,.,-,.,"ID=TraesCS1A03G0059400;curating_team=IWGSC_steuernb;derived_from=TraesCS1A01G025600,BST_chr1A_nlr_79;name=BST_chr1A_nlr_79;Name=TraesCS1A03G0059400;manually_curated=yes;last_modification=2017-02-02T14:07:59;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1A02G025600"
3736,Chr1A,IWGSC_v2.1,gene,13939627,13944153,.,+,.,"ID=TraesCS1A03G0060600;curating_team=IWGSC_steuernb;derived_from=TraesCS1A01G026200,BST_pseudo_expressed_chr1A_nlr_12;name=BST_pseudo_expressed_chr1A_nlr_12;Name=TraesCS1A03G0060600;manually_curated=yes;last_modification=2017-02-02T14:51:53;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1A02G026200"
3744,Chr1A,IWGSC_v2.1,gene,14003958,14009714,.,-,.,"ID=TraesCS1A03G0060800;curating_team=IWGSC_steuernb;derived_from=TraesCS1A01G026300,BST_pseudo_expressed_chr1A_nlr_78;name=BST_pseudo_expressed_chr1A_nlr_78;Name=TraesCS1A03G0060800;manually_curated=yes;last_modification=2017-02-02T14:51:36;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1A02G026300"
3754,Chr1A,IWGSC_v2.1,gene,14021694,14029324,.,-,.,"ID=TraesCS1A03G0061000;curating_team=IWGSC_steuernb;derived_from=TraesCS1A01G026400,BST_chr1A_nlr_77;name=BST_chr1A_nlr_77;Name=TraesCS1A03G0061000;manually_curated=yes;last_modification=2017-02-02T14:40:36;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1A02G026400"
3936,Chr1A,IWGSC_v2.1,gene,14851244,14858342,.,+,.,"ID=TraesCS1A03G0065000;curating_team=IWGSC_steuernb;derived_from=TraesCS1A01G028400,BST_chr1A_nlr_13;name=BST_chr1A_nlr_13;Name=TraesCS1A03G0065000;manually_curated=yes;last_modification=2017-02-02T14:41:53;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1A02G028400"
3956,Chr1A,IWGSC_v2.1,gene,14884967,14890934,.,+,.,"ID=TraesCS1A03G0065300;curating_team=IWGSC_steuernb;derived_from=TraesCS1A01G028500,BST_chr1A_nlr_14;name=BST_chr1A_nlr_14;Name=TraesCS1A03G0065300;manually_curated=yes;last_modification=2017-02-02T14:44:32;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1A02G028500"
3974,Chr1A,IWGSC_v2.1,gene,14951099,14956968,.,+,.,"ID=TraesCS1A03G0065500;curating_team=IWGSC_steuernb;derived_from=TraesCS1A01G028600,BST_pseudo_expressed_chr1A_nlr_15;name=BST_pseudo_expressed_chr1A_nlr_15;Name=TraesCS1A03G0065500;manually_curated=yes;last_modification=2017-02-02T14:50:59;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1A02G028600"
3996,Chr1A,IWGSC_v2.1,gene,14990701,14996665,.,+,.,"ID=TraesCS1A03G0065600;curating_team=IWGSC_steuernb;derived_from=TraesCS1A01G028700,TraesCS1A01G028800,BST_pseudo_expressed_chr1A_nlr_16;name=BST_pseudo_expressed_chr1A_nlr_16;Name=TraesCS1A03G0065600;manually_curated=yes;last_modification=2017-02-02T14:50:21;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1A02G028700"
4016,Chr1A,IWGSC_v2.1,gene,15107896,15113793,56,+,.,ID=TraesCS1A03G0065900;previous_id=TraesCS1A02G028900;primconf=HC;Name=TraesCS1A03G0065900;cds=CDS_OK;mapping=fullPerfectMatch
4031,Chr1A,IWGSC_v2.1,gene,15201632,15206132,44,+,.,ID=TraesCS1A03G0066200;previous_id=TraesCS1A02G029100;primconf=HC;Name=TraesCS1A03G0066200;cds=CDS_OK;mapping=fullPerfectMatch
4888,Chr1A,IWGSC_v2.1,gene,21824705,21828474,.,-,.,"ID=TraesCS1A03G0083400;curating_team=IWGSC_steuernb;derived_from=TraesCS1A01G035900,BST_chr1A_nlr_76;name=BST_chr1A_nlr_76;Name=TraesCS1A03G0083400;manually_curated=yes;last_modification=2017-02-02T14:53:01;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1A02G035900"
5229,Chr1A,IWGSC_v2.1,gene,22958573,22963772,.,+,.,"ID=TraesCS1A03G0091600;curating_team=IWGSC_steuernb;derived_from=TraesCS1A01G038600,TraesCS1A01G038700,BST_pseudo_expressed_chr1A_nlr_19;name=BST_pseudo_expressed_chr1A_nlr_19;Name=TraesCS1A03G0091600;manually_curated=yes;last_modification=2017-02-02T14:55:16;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1A02G038600"
5580,Chr1A,IWGSC_v2.1,gene,24265837,24269187,46,-,.,ID=TraesCS1A03G0096800;previous_id=TraesCS1A02G040700;primconf=HC;Name=TraesCS1A03G0096800;cds=CDS_OK;mapping=fullPerfectMatch
5600,Chr1A,IWGSC_v2.1,gene,24549327,24551180,44,-,.,ID=TraesCS1A03G0098000;previous_id=TraesCS1A02G041100;primconf=HC;Name=TraesCS1A03G0098000;cds=CDS_OK;mapping=fullPerfectMatch
11207,Chr1A,IWGSC_v2.1,gene,61693460,61696355,49,+,.,ID=TraesCS1A03G0186700;previous_id=TraesCS1A02G076500;primconf=HC;Name=TraesCS1A03G0186700;cds=CDS_OK;mapping=fullPerfectMatch
15345,Chr1A,IWGSC_v2.1,gene,100032450,100037279,42,-,.,ID=TraesCS1A03G0245900;previous_id=TraesCS1A02G101300;primconf=HC;Name=TraesCS1A03G0245900;cds=CDS_OK;mapping=fullPerfectMatch
15391,Chr1A,IWGSC_v2.1,gene,100181262,100183457,30,-,.,ID=TraesCS1A03G0246700;previous_id=TraesCS1A02G101700;primconf=HC;Name=TraesCS1A03G0246700;cds=CDS_OK;mapping=fullPerfectMatch
26368,Chr1A,IWGSC_v2.1,gene,263890733,263896682,52,+,.,ID=TraesCS1A03G0408500;previous_id=TraesCS1A02G152300;primconf=HC;Name=TraesCS1A03G0408500;cds=CDS_OK;mapping=fullPerfectMatch
29538,Chr1A,IWGSC_v2.1,gene,300844714,300847364,38,+,.,ID=TraesCS1A03G0451000;previous_id=TraesCS1A02G166400;primconf=HC;Name=TraesCS1A03G0451000;cds=CDS_OK;mapping=fullPerfectMatch
44235,Chr1A,IWGSC_v2.1,gene,432179128,432184349,55,+,.,ID=TraesCS1A03G0627700;previous_id=TraesCS1A02G242300;primconf=HC;Name=TraesCS1A03G0627700;cds=CDS_OK;mapping=fullPerfectMatch
47436,Chr1A,IWGSC_v2.1,gene,454520728,454524636,37,+,.,ID=TraesCS1A03G0664000;previous_id=TraesCS1A02G259500;primconf=HC;Name=TraesCS1A03G0664000;cds=CDS_OK;mapping=fullPerfectMatch
48921,Chr1A,IWGSC_v2.1,gene,464098276,464103806,52,+,.,ID=TraesCS1A03G0679300;previous_id=TraesCS1A02G267100;primconf=HC;Name=TraesCS1A03G0679300;cds=CDS_OK;mapping=fullPerfectMatch
55655,Chr1A,IWGSC_v2.1,gene,501854997,501859053,54,+,.,ID=TraesCS1A03G0768300;previous_id=TraesCS1A02G309500;primconf=HC;Name=TraesCS1A03G0768300;cds=CDS_OK;mapping=fullPerfectMatch
57630,Chr1A,IWGSC_v2.1,gene,515635940,515638791,52,+,.,ID=TraesCS1A03G0802600;previous_id=TraesCS1A02G323600;primconf=HC;Name=TraesCS1A03G0802600;cds=CDS_OK;mapping=fullPerfectMatch
62781,Chr1A,IWGSC_v2.1,gene,538758003,538758878,35,+,.,ID=TraesCS1A03G0867300;previous_id=TraesCS1A02G353900;primconf=HC;Name=TraesCS1A03G0867300;cds=CDS_OK;mapping=fullPerfectMatch
62786,Chr1A,IWGSC_v2.1,gene,538766992,538768950,41,+,.,ID=TraesCS1A03G0867600;previous_id=TraesCS1A02G354000;primconf=HC;Name=TraesCS1A03G0867600;cds=CDS_OK;mapping=fullPerfectMatch
62796,Chr1A,IWGSC_v2.1,gene,538770708,538772186,46,+,.,ID=TraesCS1A03G0867700;previous_id=TraesCS1A02G354100;primconf=HC;Name=TraesCS1A03G0867700;cds=CDS_OK;mapping=fullPerfectMatch
62800,Chr1A,IWGSC_v2.1,gene,538775311,538776786,60,+,.,ID=TraesCS1A03G0867800;previous_id=TraesCS1A02G354200;primconf=HC;Name=TraesCS1A03G0867800;cds=CDS_OK;mapping=fullPerfectMatch
64583,Chr1A,IWGSC_v2.1,gene,546164522,546168533,56,+,.,ID=TraesCS1A03G0888300;previous_id=TraesCS1A02G364900;primconf=HC;Name=TraesCS1A03G0888300;cds=CDS_OK;mapping=fullPerfectMatch
65833,Chr1A,IWGSC_v2.1,gene,551377356,551381629,47,+,.,ID=TraesCS1A03G0906800;previous_id=TraesCS1A02G373700;primconf=HC;Name=TraesCS1A03G0906800;cds=CDS_OK;mapping=fullPerfectMatch
66256,Chr1A,IWGSC_v2.1,gene,552524125,552528992,49,-,.,ID=TraesCS1A03G0912100;previous_id=TraesCS1A02G376600;primconf=HC;Name=TraesCS1A03G0912100;cds=CDS_OK;mapping=fullPerfectMatch
66504,Chr1A,IWGSC_v2.1,gene,553330216,553350604,31,-,.,ID=TraesCS1A03G0916000;previous_id=TraesCS1A02G379100;primconf=HC;Name=TraesCS1A03G0916000;cds=CDS_OK;mapping=fullPerfectMatch
66653,Chr1A,IWGSC_v2.1,gene,553548282,553550492,46,-,.,ID=TraesCS1A03G0918100;previous_id=TraesCS1A02G380000;primconf=HC;Name=TraesCS1A03G0918100;cds=CDS_OK;mapping=fullPerfectMatch
70695,Chr1A,IWGSC_v2.1,gene,574687001,574689301,34,-,.,ID=TraesCS1A03G1001200;previous_id=TraesCS1A02G409200;primconf=HC;Name=TraesCS1A03G1001200;cds=CDS_OK;mapping=fullPerfectMatch
70700,Chr1A,IWGSC_v2.1,gene,574704895,574705782,42,-,.,ID=TraesCS1A03G1001400;previous_id=TraesCS1A02G409300;primconf=HC;Name=TraesCS1A03G1001400;cds=CDS_OK;mapping=fullPerfectMatch
70704,Chr1A,IWGSC_v2.1,gene,574707432,574708274,45,-,.,ID=TraesCS1A03G1001500;previous_id=TraesCS1A02G409400;primconf=HC;Name=TraesCS1A03G1001500;cds=CDS_OK;mapping=fullPerfectMatch
72202,Chr1A,IWGSC_v2.1,gene,578968442,578973283,40,+,.,ID=TraesCS1A03G1018200;previous_id=TraesCS1A02G417000;primconf=HC;Name=TraesCS1A03G1018200;cds=CDS_OK;mapping=fullPerfectMatch
73636,Chr1A,IWGSC_v2.1,gene,584936382,584937650,28,-,.,ID=TraesCS1A03G1035700;previous_id=TraesCS1A02G425800;primconf=HC;Name=TraesCS1A03G1035700;cds=CDS_OK;mapping=fullPerfectMatch
73646,Chr1A,IWGSC_v2.1,gene,585025817,585030069,44,-,.,ID=TraesCS1A03G1036900;previous_id=TraesCS1A02G425900;primconf=HC;Name=TraesCS1A03G1036900;cds=CDS_OK;mapping=fullPerfectMatch
73660,Chr1A,IWGSC_v2.1,gene,585104981,585108694,47,-,.,ID=TraesCS1A03G1037100;previous_id=TraesCS1A02G426000;primconf=HC;Name=TraesCS1A03G1037100;cds=CDS_OK;mapping=fullPerfectMatch
75087,Chr1A,IWGSC_v2.1,gene,589091506,589101120,48,+,.,ID=TraesCS1A03G1053000;previous_id=TraesCS1A02G433600;primconf=HC;Name=TraesCS1A03G1053000;cds=CDS_OK;mapping=fullPerfectMatch
75277,Chr1A,IWGSC_v2.1,gene,590632624,590637061,52,-,.,ID=TraesCS1A03G1059400;previous_id=TraesCS1A02G435700;primconf=HC;Name=TraesCS1A03G1059400;cds=CDS_OK;mapping=fullPerfectMatch
75289,Chr1A,IWGSC_v2.1,gene,590648711,590665624,.,-,.,ID=TraesCS1A03G1059600;Name=TraesCS1A03G1059600;cds=CDS_OK;mapping=GMAP_ON_TARGET;previous_id=TraesCS1A02G435800
75297,Chr1A,IWGSC_v2.1,gene,590719791,590720851,33,-,.,ID=TraesCS1A03G1059800;previous_id=TraesCS1A02G435900;primconf=HC;Name=TraesCS1A03G1059800;cds=CDS_OK;mapping=fullPerfectMatch
75303,Chr1A,IWGSC_v2.1,gene,590724805,590728863,52,-,.,ID=TraesCS1A03G1059900;previous_id=TraesCS1A02G436000;primconf=HC;Name=TraesCS1A03G1059900;cds=CDS_OK;mapping=fullPerfectMatch
75315,Chr1A,IWGSC_v2.1,gene,590832717,590836100,51,-,.,ID=TraesCS1A03G1060300;previous_id=TraesCS1A02G436200;primconf=HC;Name=TraesCS1A03G1060300;cds=CDS_OK;mapping=fullPerfectMatch
75385,Chr1A,IWGSC_v2.1,gene,591238093,591240376,44,-,.,ID=TraesCS1A03G1061600;previous_id=TraesCS1A02G437200;primconf=HC;Name=TraesCS1A03G1061600;cds=CDS_OK;mapping=fullPerfectMatch
77182,Chr1B,IWGSC_v2.1,gene,167368,172879,.,-,.,ID=TraesCS1B03G0000100;Name=TraesCS1B03G0000100;cds=CDS_CHANGED;mapping=GMAP_ON_TARGET;previous_id=TraesCS1B02G000100
77190,Chr1B,IWGSC_v2.1,gene,455175,461656,.,-,.,ID=TraesCS1B03G0000200;Name=TraesCS1B03G0000200;cds=CDS_OK;mapping=GMAP_ON_TARGET;previous_id=TraesCS1B02G000200
77201,Chr1B,IWGSC_v2.1,gene,705806,707489,41,+,.,ID=TraesCS1B03G0000800;previous_id=TraesCS1B02G000300;Name=TraesCS1B03G0000800;primconf=HC;cds=CDS_OK;mapping=fullPerfectMatch
77207,Chr1B,IWGSC_v2.1,gene,715446,720451,.,-,.,"ID=TraesCS1B03G0000900;manually_curated=yes;derived_from=TraesCS1B01G000400,BST_chr1B_nlr_212;Name=TraesCS1B03G0000900;last_modification=2017-02-09T11:18:15;curating_team=IWGSC_steuernb;name=BST_chr1B_nlr_212;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1B02G000400"
77219,Chr1B,IWGSC_v2.1,gene,874691,877709,54,-,.,ID=TraesCS1B03G0001300;previous_id=TraesCS1B02G000500;Name=TraesCS1B03G0001300;primconf=HC;cds=CDS_OK;mapping=fullPerfectMatch
77721,Chr1B,IWGSC_v2.1,gene,1692906,1701917,.,-,.,"ID=TraesCS1B03G0004100;manually_curated=yes;derived_from=TraesCS1B01G002200,BST_partial_chr1B_nlr_210;Name=TraesCS1B03G0004100;last_modification=2017-03-02T15:58:01;curating_team=IWGSC_steuernb;name=BST_partial_chr1B_nlr_210;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1B02G002200"
77745,Chr1B,IWGSC_v2.1,gene,1715344,1720242,.,-,.,"ID=TraesCS1B03G0004400;manually_curated=yes;derived_from=TraesCS1B01G002300,BST_chr1B_nlr_209;Name=TraesCS1B03G0004400;last_modification=2017-03-02T15:58:49;curating_team=IWGSC_steuernb;name=BST_chr1B_nlr_209;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1B02G002300"
77757,Chr1B,IWGSC_v2.1,gene,1765180,1770270,.,+,.,ID=TraesCS1B03G0004700;Name=TraesCS1B03G0004700;cds=CDS_OK;mapping=GMAP_ON_TARGET;previous_id=TraesCS1B02G002400
77764,Chr1B,IWGSC_v2.1,gene,1793871,1797954,.,-,.,"ID=TraesCS1B03G0005100;manually_curated=yes;derived_from=TraesCS1B01G002500,BST_chr1B_nlr_208;Name=TraesCS1B03G0005100;last_modification=2017-03-02T16:01:06;curating_team=IWGSC_steuernb;name=BST_chr1B_nlr_208;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1B02G002500"
77783,Chr1B,IWGSC_v2.1,gene,1829519,1834861,.,-,.,"ID=TraesCS1B03G0005600;manually_curated=yes;derived_from=TraesCS1B01G002800,BST_chr1B_nlr_207;Name=TraesCS1B03G0005600;last_modification=2017-03-02T16:02:00;curating_team=IWGSC_steuernb;name=BST_chr1B_nlr_207;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1B02G002800"
77797,Chr1B,IWGSC_v2.1,gene,1923843,1927998,.,-,.,"ID=TraesCS1B03G0005800;manually_curated=yes;derived_from=TraesCS1B01G002900,BST_chr1B_nlr_206;Name=TraesCS1B03G0005800;last_modification=2017-03-02T16:02:50;curating_team=IWGSC_steuernb;name=BST_chr1B_nlr_206;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1B02G002900"
77807,Chr1B,IWGSC_v2.1,gene,1955887,1957879,.,+,.,"ID=TraesCS1B03G0006100;manually_curated=yes;derived_from=TraesCS1B01G003000,BST_partial_LC_chr1B_nlr_5;Name=TraesCS1B03G0006100;last_modification=2017-03-02T16:05:53;curating_team=IWGSC_steuernb;name=BST_partial_LC_chr1B_nlr_5;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1B02G003000"
77813,Chr1B,IWGSC_v2.1,gene,2028942,2032657,.,-,.,"ID=TraesCS1B03G0006200;manually_curated=yes;derived_from=TraesCS1B01G003100,BST_chr1B_nlr_205;Name=TraesCS1B03G0006200;last_modification=2017-03-02T16:06:27;curating_team=IWGSC_steuernb;name=BST_chr1B_nlr_205;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1B02G003100"
77823,Chr1B,IWGSC_v2.1,gene,2078159,2090731,.,-,.,"ID=TraesCS1B03G0006500;manually_curated=yes;derived_from=TraesCS1B01G003200,BST_partial_chr1B_nlr_204;Name=TraesCS1B03G0006500;last_modification=2017-03-02T16:07:33;curating_team=IWGSC_steuernb;name=BST_partial_chr1B_nlr_204;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1B02G003200"
77865,Chr1B,IWGSC_v2.1,gene,2125041,2136120,.,-,.,"ID=TraesCS1B03G0006700;manually_curated=yes;derived_from=TraesCS1B01G003400,BST_partial_chr1B_nlr_202;Name=TraesCS1B03G0006700;last_modification=2017-03-02T16:09:40;curating_team=IWGSC_steuernb;name=BST_partial_chr1B_nlr_202;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1B02G003400"
77901,Chr1B,IWGSC_v2.1,gene,2252792,2256718,43,+,.,ID=TraesCS1B03G0007200;previous_id=TraesCS1B02G003700;Name=TraesCS1B03G0007200;primconf=HC;cds=CDS_OK;mapping=fullPerfectMatch
77930,Chr1B,IWGSC_v2.1,gene,2327143,2333719,24,-,.,ID=TraesCS1B03G0008000;previous_id=TraesCS1B02G004000;Name=TraesCS1B03G0008000;primconf=HC;cds=CDS_OK;mapping=fullPerfectMatch
78019,Chr1B,IWGSC_v2.1,gene,2931085,2935423,38,-,.,ID=TraesCS1B03G0009700;previous_id=TraesCS1B02G004600;Name=TraesCS1B03G0009700;primconf=HC;cds=CDS_OK;mapping=fullPerfectMatch
78271,Chr1B,IWGSC_v2.1,gene,4115135,4122936,48,+,.,ID=TraesCS1B03G0013600;previous_id=TraesCS1B02G006300;Name=TraesCS1B03G0013600;primconf=HC;cds=CDS_OK;mapping=fullPerfectMatch
78325,Chr1B,IWGSC_v2.1,gene,4243347,4262131,.,+,.,ID=TraesCS1B03G0014300;Name=TraesCS1B03G0014300;cds=CDS_OK;mapping=GMAP_ON_TARGET;previous_id=TraesCS1B02G006900
78761,Chr1B,IWGSC_v2.1,gene,5089701,5103902,.,-,.,ID=TraesCS1B03G0017900;Name=TraesCS1B03G0017900;cds=CDS_OK;mapping=GMAP_ON_TARGET;previous_id=TraesCS1B02G009400
