Gene ID,Clade,ipTM,pTM,AF confidence score,Amino acids,CC,NB,LRR,Additional,Lacked domains,ID,Remarks,,
TRAESCS2B03G1436600,CC,0.96,0.77,0.922,669,1-151,152-508,509-669,,,,Short LRR,,
TRAESCS2D03G1209300,CC,0.96,0.79,0.926,853,1-149 ,150-508,509-853,,,,,,
TRAESCS5D03G0080700,CC,0.96,0.73,0.914,848,1-144,145-513,514-848,,,,,,
TRAESCS5B03G0055400,CC,0.96,0.75,0.918,853,1-151,152-516,517-853,,,,,,
TRAESCS6B03G1282400,CC,0.95,0.79,0.918,943,1-156,157-512,513-918,919-943,,,C-terminal extension (a loop),,
TRAESCS6B03G1282700,CC,0.96,0.68,0.904,646,1-153,154-517,518-646,,,,Short LRR,,
TRAESCS6A03G1034700,CC,0.9,0.43,0.806,300,1-153,154-300,,,,,"Short NB, no LRR",,
TRAESCS6D03G0913200,CC,0.75,0.36,0.672,286,1-154,155-286,,,,,"Short NB, no LRR",,
TRAESCS6B03G1281200,CC,0.9,0.36,0.792,266,1-151,152-266,,,,,"Short NB, no LRR",,
TRAESCS4A03G0972200,CC,0.96,0.79,0.926,654,1-149,150-513,514-654,,,,Short LRR,,
TRAESCS6B03G1285800,CC,0.95,0.75,0.91,958,1-152,153-512,513-958,,,,,,
TRAESCS6A03G1035800,CC,0.94,0.78,0.908,916,1-150,151-515,516-916,,,,,,
TRAESCS6B03G0287000,CC,0.97,0.57,0.89,468,1-150,151-468,,,,,No LRR,,
TRAESCS6B03G1282600,CC,0.96,0.75,0.918,754,1-156,157-515,516-754,,,,Short LRR,,
TRAESCS5D03G1079800,CC,0.95,0.76,0.912,933,1-155,156-518,519-933,,,,,,
TRAESCS6B03G1284200,CC,0.96,0.68,0.904,574,1-146,147-519,520-574,,,,Short LRR,,
TRAESCSU03G0220500,CC,0.95,0.74,0.908,937,1-159,160-519,520-937,,,,,,
TRAESCS6D03G0913300,CC,0.96,0.72,0.912,1054,1-150,151-518,519-918,919-1054,,,"C-terminal extension (a long α-helix, a loop)",,
TRAESCS6B03G1284300,CC,0.96,0.72,0.912,969,1-152,153-513,514-937,938-969,,,C-terminal extension (an α-helix),,
TRAESCS6B03G1282500,CC,0.95,0.77,0.914,935,1-156,157-516,517-935,,,,,,
TRAESCS6A03G1032700,CC,0.96,0.65,0.898,549,1-151,152-518,519-549,,,,Short LRR,,
TRAESCS6A03G1034600,CC,0.89,0.4,0.792,312,1-153,154-312,,,,,"Short NB, no LRR",,
TRAESCS5D03G1226100,CC,0.94,0.73,0.898,936,1-157,158-528,529-936,,,,,,
TRAESCS6D03G0914900,CC,0.95,0.77,0.914,910,1-150,151-512,513-910,,,,,,
TRAESCS6B03G1244200,CC,0.96,0.8,0.928,849,1-74,75-434,435-849,,,,Short CC,,
TRAESCS6D03G0888200,CC,0.93,0.79,0.902,933,1-153,154-512,513-933,,,,,,
TRAESCS6B03G1244400,CC,0.96,0.75,0.918,760,1-148,149-512,513-760,,,,Short LRR,,
TRAESCS6A03G1010400,CC,0.95,0.79,0.918,932,1-150,151-512,513-932,,,,,,
TRAESCS6B03G1244600,CC,0.82,0.34,0.724,278,1-155,156-278,,,,,"Short NB, no LRR",,
TRAESCSU03G0201900,CC,0.96,0.8,0.928,931,1-155,156-515,516-931,,,,,,
TRAESCS6B03G1243900,CC,0.93,0.78,0.9,933,1-160,161-520,521-933,,,,,,
TRAESCS6D03G0888800,CC,0.95,0.78,0.916,934,1-155,156-515,516-934,,,,,,
TRAESCS6A03G1010900,CC,0.92,0.76,0.888,936,1-152,153-515,516-936,,,,,,
TRAESCS6B03G1241700,CC,0.95,0.76,0.912,941,1-156,157-515,516-941,,,,,,
TRAESCS6B03G1280700,CC,0.96,0.75,0.918,755,1-157,158-518,519-700,701-755,,,"Short LRR, C-terminal extension (a loop)",,
TRAESCS6A03G1035900,CC,0.95,0.79,0.918,917,1-157,158-521,522-917,,,,,,
TRAESCS6A03G1032500,CC,0.96,0.78,0.924,936,1-151,152-521,522-936,,,,,,
TRAESCS6D03G0913700,CC,0.88,0.42,0.788,301,1-156,157-301,,,,,"Short NB, no LRR",,
TRAESCS6B03G1283600,CC,0.94,0.78,0.908,923,1-155,156-522,523-923,,,,,,
TRAESCS6D03G0914100,CC,0.65,0.44,0.608,1985,"1-186, 1022-1207","187-570, 1208-1571","571-1021, 1572-1985",,,,"2xCC, 2xNB, 2xLRR",,
TRAESCS6B03G1281400,CC,0.96,0.77,0.922,668,1-153,154-520,521-668,,,,Short LRR,,
TRAESCS6A03G1033100,CC,0.9,0.7,0.86,297,1-155,156-297,,,,,"Short NB, no LRR",,
TRAESCS6A03G1033200,CC,0.91,0.41,0.81,297,1-155,156-297,,,,,"Short NB, no LRR",,
TRAESCS6A03G1035500,CC,0.89,0.43,0.798,297,1-155,156-297,,,,,"Short NB, no LRR",,
TRAESCS6D03G0914800,CC,0.5,0.35,0.47,243,1-152,153-243,,,,,"Short NB, no LRR",,
TRAESCS5A03G0173800,CC,0.92,0.82,0.9,760,,1-334,335-727,728-760,,,"No CC, C-terminal extension (a loop)",,
TRAESCS3D03G0015600,CC,0.95,0.71,0.902,965,,1-377,378-835,836-965,,,"No CC, C-terminal extension (trx)",,
TRAESCS3A03G0018100,CC,0.94,0.74,0.9,1073,1-134,135-486,487-947,948-1073,,,C-terminal extension (trx),,
TRAESCS1D03G0448900,CC,0.96,0.5,0.868,559,1-256,257-559,,,,,"Long CC, no LRR",,
TRAESCS1A03G0451000,CC,0.96,0.54,0.876,716,1-243,244-580,581-716,,,,"Long CC, short LRR",,
TRAESCS1B03G0542000,CC,0.85,0.48,0.776,1010,1-244,245-535,536-1010,,,,Long CC,,
TRAESCS1B03G0029300,CC,0.93,0.76,0.896,975,1-138,139-492,493-975,,,,,,
TRAESCS1B03G1088200,CC,0.93,0.81,0.906,978,1-133,134-531,532-927,928-978,,,C-terminal extension (a loop),,
TRAESCS5B03G1028900,CC,0.9,0.69,0.858,1069,1-136,137-593,594-1069,,,,Long NB,,
TRAESCS6A03G0633800,CC,0.92,0.76,0.888,802,,1-381,382-802,,,,No CC,,
TRAESCS6D03G0509700,CC,0.95,0.58,0.876,437,1-134,135-437,,,,,No LRR,,
TRAESCS6D03G0915100,CC,0.96,0.73,0.914,846,1-88,89-443,444-809,810-848,,,"Short CC, C-terminal extension (a loop)",,
TRAESCS6D03G0915000,CC,0.96,0.75,0.918,909,1-154,155-512,513-909,,,,,,
TRAESCS2B03G1495300,CC,0.95,0.74,0.908,841,,1-359,360-743,744-841,,,"No CC, C-terminal extension (lectin)",,
TRAESCS4A03G1127500,CC,0.88,0.42,0.788,300,1-152,153-300,,,,,"Short NB, no LRR",,
TRAESCS5B03G0030200,CC,0.95,0.72,0.904,1077,1-159,160-517,518-916,917-1077,,,C-terminal extension (lectin),,
TRAESCS5D03G0048200,CC,0.96,0.72,0.912,1076,1-156,157-516,517-910,911-1076,,,C-terminal extension (lectin),,
TRAESCS2D03G0111300,CC,0.94,0.67,0.886,1082,1-148,149-514,515-915,916-1082,,,C-terminal extension (lectin),,
TRAESCS2B03G0157100,CC,0.97,0.7,0.916,661,1-118,119-481,482-592,593-661,,,"Short CC, short LRR, C-terminal extension (a loop)",,
TRAESCS2B03G0156400,CC,0.95,0.67,0.894,1122,1-192,193-554,555-955,956-1122,,,"Long CC, C-terminal extension (lectin)",,
TRAESCS5B03G0621000,CC,0.95,0.74,0.908,914,1-155,156-511,512-914,,,,,,
TRAESCS7D03G1268200,CC,0.96,0.75,0.918,973,1-150,151-510,511-912,913-973,,,C-terminal extension (a loop),,
TRAESCS4B03G0826600,CC,0.87,0.82,0.86,738,,1-337,338-738,,,,No CC,,
TRAESCS4D03G0737300,CC,0.91,0.79,0.886,903,1-149,150-517,518-903,,,,,,
TRAESCS1B03G0000200,CC,0.94,0.8,0.912,642,,1-321,322-642,,,,No CC,,
TRAESCS1A03G0011000,CC,0.97,0.66,0.908,367,1-53,54-367,,,,,"Short CC, short NB, no LRR",,
TRAESCS1D03G0003600,CC,0.97,0.63,0.902,380,1-136,137-380,,,,,"Short NB, no LRR",,
TRAESCS1A03G0012900,CC,0.96,0.81,0.93,844,1-153,154-517,518-844,,,,,,
TRAESCS1A03G0027200,CC,0.96,0.77,0.922,844,1-159,160-517,518-844,,,,,,
TRAESCS2D03G1287200,CC,0.97,0.75,0.926,600,1-152,153-526,527-600,,,,,,
TRAESCS2D03G1287400,CC,0.95,0.74,0.908,831,1-141,142-505,506-805,806-831,,,C-terminal extension (a loop),,
TRAESCS2B03G1524200,CC,0.95,0.83,0.926,656,,1-343,344-656,,,,No CC,,
TRAESCS2B03G1523100,CC,0.96,0.78,0.924,829,1-158,159-528,529-829,,,,,,
TRAESCS2D03G1286300,CC,0.97,0.77,0.93,739,1-158,159-533,534-739,,,,Short LRR,,
TRAESCS2D03G1287300,CC,0.96,0.78,0.924,868,1-153,154-527,528-833,834-868,,,C-terminal extension (an α-helix),,
TRAESCS2D03G1286400,CC,0.97,0.52,0.88,547,1-152,153-547,,,,,No LRR,,
TRAESCS2D03G1285500,CC,0.84,0.38,0.748,252,1-151,152-252,,,,,"Short NB, no LRR",,
TRAESCS2D03G1285300,CC,0.86,0.4,0.768,261,1-151,152-261,,,,,"Short NB, no LRR",,
TRAESCS2D03G1286100,CC,0.83,0.39,0.742,261,1-149,152-261,,,,,"Short NB, no LRR",,
TRAESCS1D03G0013800,CC,0.95,0.79,0.918,966,1-159,160-514,515-966,,,,,,
TRAESCS3D03G1013200,CC,0.96,0.63,0.894,588,1-149,160-588,,,,,No LRR,,
TRAESCS3D03G0038200,CC,0.97,0.65,0.906,508,1-153,154-508,,,,,No LRR,,
TRAESCS6A03G0020200,CC,0.95,0.69,0.898,1003,1-149,150-504,505-898,899-1007,,,C-terminal extension (an α-helix & long loop),,
TRAESCS7B03G1121600,CC,0.96,0.75,0.918,931,1-150,151-507,508-933,,,,,,
TRAESCSU03G0084500,CC,0.97,0.64,0.904,414,1-155,156-416,,,,,No LRR,,
TRAESCS2A03G1330800,CC,0.91,0.43,0.814,275,1-160,161-275,,,,,"Short NB, no LRR",,
TRAESCS2D03G1121600,CC,0.95,0.67,0.894,547,1-141,142-471,472-547,,,,Short LRR,,
TRAESCS2A03G1342600,CC,0.85,0.55,0.79,1552,1-155,156-481,482-1045,1045-1552,,,C-terminal extension (kinase),,
TRAESCS2A03G1343000,CC,0.81,0.61,0.77,1294,1-142,143-480,481-871,872-1294,,,C-terminal extension (kinase),,
TRAESCS6B03G0037400,CC,0.96,0.48,0.864,816,1-152,153-468,469-816,,,,,,
TRAESCS5B03G0082100,CC,0.9,0.51,0.822,312,1-155,156-312,,,,,"Short NB, no LRR",,
TRAESCS2B03G0438100,CC,0.97,0.6,0.896,490,1-154,155-490,,,,,No LRR,,
TRAESCS6D03G0027500,CC,0.95,0.72,0.904,1041,1-151,152-503,504-911,912-1045,,,"Twisted LRR, C-terminal extension (an α-helix, a long loop)",,
TRAESCS6D03G0027300,CC,0.96,0.78,0.924,894,1-153,154-501,502-898,,,,Twisted LRR,,
TRAESCS6B03G0037200,CC,0.96,0.73,0.914,1016,1-156,157-501,502-910,911-1020,,,"Twisted LRR, C-terminal extension (an α-helix, a loop)",,
TRAESCS6B03G0036400,CC,0.95,0.69,0.898,1066,1-153,154-501,502-910,911-1070,,,"Twisted LRR, C-terminal extension (an α-helix, a loop)",,
TRAESCS6A03G0020600,CC,0.96,0.77,0.922,930,1-155,156-499,500-903,904-932,,,"Twisted LRR, C-terminal extension (an α-helix)",,
TRAESCS6D03G0026700,CC,0.96,0.76,0.92,1017,1-148,149-498,499-907,908-1017,,,"Twisted LRR, C-terminal extension (an α-helix, a loop)",,
TRAESCS6D03G0027400,CC,0.96,0.77,0.922,1011,1-149,150-499,500-907,908-1011,,,"Twisted LRR, C-terminal extension (an α-helix, a loop)",,
TRAESCS6A03G0021400,CC,0.96,0.73,0.914,1022,1-149,150-498,499-907,908-1024,,,"Twisted LRR, C-terminal extension (an α-helix, a loop)",,
TRAESCS6A03G0019100,CC,0.74,0.49,0.69,279,1-147,148-281,,,,,"Short NB, no LRR",,
TRAESCS6A03G0019500,CC,0.75,0.52,0.704,286,1-153,154-288,,,,,"Short NB, no LRR",,
TRAESCS6A03G0019000,CC,0.97,0.56,0.888,458,1-147,148-460,,,,,"Short NB, no LRR",,
TRAESCS6A03G0019400,CC,0.96,0.72,0.912,1037,1-150,151-505,506-912,913-1039,,,"Twisted LRR, C-terminal extension (an α-helix, a loop)",,
TRAESCS1B03G0024400,CC,0.96,0.77,0.922,915,1-153,154-510,511-915,,,,Twisted LRR,,
TRAESCS3D03G0163000,CC,0.96,0.79,0.926,922,1-153,154-513,514-922,,,,,,
TRAESCS3B03G0222800,CC,0.96,0.78,0.924,922,1-150,151-515,516-922,,,,,,
TRAESCS7B03G1325600,CC,0.9,0.43,0.806,285,1-154,155-285,,,,,"Short NB, no LRR",,
TRAESCS7D03G1016300,CC,0.83,0.7,0.804,778,1-112,113-369,370-778,,,,"Short CC, short NB",,
TRAESCS7B03G0910300,CC,0.96,0.65,0.898,617,1-151,152-510,511-617,,,,Short LRR,,
TRAESCS7A03G1066000,CC,0.63,0.44,0.592,1834,"1-152, 919-1071","153-509, 1072-1429","510-918, 1430-1834",,,,"2xCC, 2xNB, 2xLRR",,
TRAESCS7A03G1066400,CC,0.96,0.79,0.926,966,1-187,188-542,543-968,,,,,,
TRAESCS7B03G0910400,CC,0.96,0.8,0.928,936,1-156,157-512,513-938,,,,,,
TRAESCS7D03G1016500,CC,0.96,0.75,0.918,790,1-153,154-511,512-792,,,,Short LRR,,
TRAESCS2A03G0137400,CC,0.96,0.81,0.93,946,1-150,151-508,509-946,,,,Twisted LRR,,
TRAESCS2B03G0190700,CC,0.94,0.71,0.894,966,1-156,157-502,503-968,,,,,,
TRAESCS2B03G0192900,CC,0.96,0.64,0.896,1131,1-152,153-510,511-867,868-1135,,,C-terminal extension (a loop),,
TRAESCS2A03G0137200,CC,0.96,0.67,0.902,1130,1-150,151-508,509-927,928-1132,,,C-terminal extension (a loop),,
TRAESCS2D03G0136400,CC,0.96,0.68,0.904,1087,1-151,152-508,509-919,920-1091,,,C-terminal extension (a loop),,
TRAESCS6B03G0018500,CC,0.93,0.51,0.846,325,1-157,158-325,,,,,"Short NB, no LRR",,
TRAESCS6D03G0012600,CC,0.96,0.74,0.916,997,1-153,154-519,520-948,949-997,,,C-terminal extension (a loop),,
TRAESCS6B03G0019300,CC,0.87,0.4,0.776,288,1-156,157-288,,,,,"Short NB, no LRR",,
TRAESCS6B03G0019400,CC,0.96,0.71,0.91,1056,1-155,156-518,519-921,922-1056,,,C-terminal extension (a loop),,
TRAESCS6B03G0019200,CC,0.95,0.57,0.874,470,1-153,154-470,,,,,"Short NB, no LRR",,
TRAESCS6B03G0019500,CC,0.91,0.45,0.818,306,1-157,158-306,,,,,"Short NB, no LRR",,
TRAESCS4B03G0891100,CC,0.88,0.58,0.82,1409,456-647,648-1010,1011-1409,1-455 ,,,"N-terminal extension (kinase, Ig)",,
TRAESCS4A03G1197200,CC,0.95,0.76,0.912,922,1-153,154-522,523-922,,,,,,
TRAESCS4A03G1232200,CC,0.94,0.71,0.894,909,1-151,152-505,506-909,,,,,,
TRAESCS7D03G0011300,CC,0.9,0.47,0.814,327,1-150,151-327,,,,,"Short NB, no LRR",,
TRAESCS4A03G1228400,CC,0.94,0.64,0.88,721,1-151,152-508,509-721,,,,Short LRR,,
TRAESCS7A03G0012000,CC,0.95,0.79,0.918,870,1-107,108-469,470-870,,,,Short CC,,
TRAESCS7D03G0013800,CC,0.96,0.67,0.902,561,1-151,152-505,506-561,,,,Short LRR,,
TRAESCS7A03G0014200,CC,0.95,0.76,0.912,911,1-155,156-505,506-913,,,,,,
TRAESCS7A03G0011100,CC,0.8,0.41,0.722,287,1-157,158-287,,,,,"Short NB, no LRR",,
TRAESCS4A03G1236800,CC,0.95,0.65,0.89,632,1-153,154-506,507-632,,,,Short LRR,,
TRAESCS4A03G1242400,CC,0.94,0.73,0.898,911,1-150,151-505,506-911,,,,,,
TRAESCS4A03G1229600,CC,0.97,0.63,0.902,497,1-155,156-497,,,,,No LRR,,
TRAESCS4A03G1230100,CC,0.95,0.66,0.892,777,1-171,172-535,536-777,,,,Short LRR,,
TRAESCS4A03G1225400,CC,0.95,0.72,0.904,931,1-151,152-512,513-931,,,,,,
TRAESCS7D03G0019300,CC,0.76,0.39,0.686,295,1-156,157-295,,,,,"Short NB, no LRR",,
TRAESCS7A03G0017300,CC,0.95,0.74,0.908,921,1-150,151-506,507-921,,,,,,
TRAESCS1B03G0024800,CC,0.96,0.5,0.868,939,1-168,169-543,544-941,,,,,,
TRAESCS6D03G0216400,CC,0.96,0.75,0.918,933,1-151,152-511,512-933,,,,,,
TRAESCS2D03G1326300,CC,0.96,0.78,0.924,963,1-148,149-516,517-965,,,,,,
TRAESCS2B03G1554500,CC,0.96,0.77,0.922,931,1-148,149-522,523-931,,,,,,
TRAESCS2A03G1352700,CC,0.92,0.53,0.842,373,1-153,154-373,,,,,"Short NB, no LRR",,
TRAESCS2D03G1326600,CC,0.96,0.69,0.906,581,1-154,155-581,,,,,No LRR,,
TRAESCS2D03G1325600,CC,0.92,0.46,0.828,1126,316-574,575-942,"1-315, 943-1126",,,,"Long CC, 2xLRR",,
TRAESCS2D03G1326000,CC,0.92,0.53,0.842,344,1-150,151-344,,,,,"Short NB, no LRR",,
TRAESCS2B03G1554200,CC,0.95,0.78,0.916,922,1-147,148-518,519-926,,,,,,
TRAESCS2D03G1324900,CC,0.94,0.38,0.828,799,1-150,151-488,489-803,,,,Short LRR,,
TRAESCS3B03G1300200,CC,0.95,0.79,0.918,923,1-150,151-514,515-923,,,,,,
TRAESCS3D03G1047200,CC,0.95,0.76,0.912,917,1-153,154-517,518-919,,,,,,
TRAESCS3D03G1044200,CC,0.96,0.74,0.916,629,1-149,150-517,518-629,,,,Short LRR,,
TRAESCS3D03G1046600,CC,0.96,0.74,0.916,629,1-147,148-517,518-629,,,,Short LRR,,
TRAESCS3B03G1301200,CC,0.96,0.73,0.914,956,1-151,152-515,516-956,,,,,,
TRAESCS3B03G1300800,CC,0.95,0.78,0.916,926,1-146,147-515,516-928,,,,,,
TRAESCS3A03G1272100,CC,0.97,0.64,0.904,503,1-148,149-503,,,,,No LRR,,
TRAESCS3B03G1516900,CC,0.83,0.48,0.76,242,1-110,111-242,,,,,"Short CC, short NB, no LRR",,
TRAESCS3D03G1194100,CC,0.91,0.43,0.814,279,1-152,153-279,,,,,"Short NB, no LRR",,
TRAESCS3D03G1046500,CC,0.96,0.78,0.924,912,1-153,154-516,517-912,,,,,,
TRAESCS3B03G1301300,CC,0.94,0.61,0.874,849,1-146,147-487,488-849,,,,,,
TRAESCS3A03G1123200,CC,0.95,0.71,0.902,774,1-152,153-520,521-774,,,,Short LRR,,
TRAESCS3A03G1123100,CC,0.96,0.74,0.916,920,1-153,154-517,518-920,,,,,,
TRAESCS3A03G1123500,CC,0.87,0.44,0.784,279,1-155,156-279,,,,,"Short NB, no LRR",,
TRAESCS3B03G1300500,CC,0.97,0.81,0.938,879,1-107,108-474,475-879,,,,Short CC,,
TRAESCS3B03G1300400,CC,0.95,0.79,0.918,935,1-146,147-516,517-935,,,,,,
TRAESCS3B03G1300300,CC,0.96,0.8,0.928,918,1-147,148-516,517-918,,,,,,
TRAESCS3B03G1300000,CC,0.75,0.67,0.734,713,1-121,122-430,431-713,,,,Short LRR,,
TRAESCS3D03G1044400,CC,0.85,0.41,0.762,256,1-126,127-256,,,,,"Short CC, short NB, no LRR",,
TRAESCS3A03G1122800,CC,0.73,0.35,0.654,289,1-153,154-289,,,,,"Short NB, no LRR",,
TRAESCS7A03G0010800,CC,0.95,0.78,0.916,933,1-153,154-524,525-933,,,,,,
TRAESCS7B03G1288800,CC,0.96,0.74,0.916,837,1-150,151-523,524-837,,,,,,
TRAESCS7D03G1278900,CC,0.95,0.63,0.886,565,1-152,153-565,,,,,No LRR,,
TRAESCS7A03G1350200,CC,0.86,0.39,0.766,269,1-167,168-269,,,,,"Short NB, no LRR",,
TRAESCS1B03G0000800,CC,0.87,0.41,0.778,283,1-153,154-283,,,,,"Short NB, no LRR",,
TRAESCS1B03G0001300,CC,0.95,0.78,0.916,935,1-152 ,153-524,525-935,,,,,,
TRAESCS1B03G0005100,CC,0.95,0.73,0.906,831,1-148,149-521,522-831,,,,,,
TRAESCS1D03G0003900,CC,0.94,0.66,0.884,754,1-150,151-525,526-754,,,,,,
TRAESCS1B03G0005800,CC,0.96,0.78,0.924,930,1-147,148-521,522-932,,,,,,
TRAESCS1A03G0012700,CC,0.96,0.76,0.92,748,1-80,81-450,451-748 ,,,,"Short CC, short LRR",,
TRAESCS1D03G0004700,CC,0.94,0.8,0.912,335,,1-335,,,,,"No CC, no LRR",,
TRAESCS1D03G0061000,CC,0.96,0.78,0.924,943,1-156,157-522,523-943,,,,,,
TRAESCS7A03G0263200,CC,0.97,0.58,0.892,453,1-152,153-453,,,,,"Short NB, no LRR",,
TRAESCS7D03G0241300,CC,0.95,0.75,0.91,911,1-148,149-520,521-911,,,,,,
TRAESCS7B03G0021800,CC,0.96,0.61,0.89,593,1-157,158-593,,,,,No LRR,,
TRAESCS7B03G0020400,CC,0.95,0.8,0.92,934,1-151,152-520,521-934,,,,,,
TRAESCS7D03G0227700,CC,0.97,0.59,0.894,387,1-156,157-387,,,,,No LRR,,
TRAESCS7A03G0263100,CC,0.96,0.79,0.926,908,1-139,140-504,505-908,,,,,,
TRAESCS7A03G0261700,CC,0.97,0.6,0.896,430,1-157,158-430,,,,,"Short NB, no LRR",,
TRAESCS7A03G0263700,CC,0.96,0.65,0.898,511,1-151,152-511,,,,,No LRR,,
TRAESCS7B03G0020700,CC,0.93,0.63,0.87,531,1-146,147-531,,,,,No LRR,,
TRAESCS7B03G0020300,CC,0.95,0.75,0.91,893,1-149,150-520,521-893,,,,,,
TRAESCS7A03G0263800,CC,0.95,0.78,0.916,924,1-151,152-520,521-924,,,,,,
TRAESCS7B03G0020900,CC,0.94,0.67,0.886,1100,1-321,322-683,684-1100,,,,Long CC,,
TRAESCS7B03G0020800,CC,0.96,0.79,0.926,859,1-80,81-445,446-859,,,,Short CC,,
TRAESCS7A03G0263500,CC,0.96,0.81,0.93,951,1-152,153-520,521-951,,,,,,
TRAESCS7D03G0241400,CC,0.87,0.4,0.776,280,1-152,153-280,,,,,"Short NB, no LRR",,
TRAESCS7B03G0021400,CC,0.91,0.69,0.866,340,1-155,156-340,,,,,"Short NB, no LRR",,
TRAESCS3A03G0028800,CC,0.93,0.63,0.87,1045,1-152,153-526,527-989,990-1045,,,C-terminal extension (a loop),,
TRAESCS3D03G0023200,CC,0.93,0.64,0.872,1039,1-151,152-526,527-995,996-1039,,,C-terminal extension (a loop),,
TRAESCS1B03G0070000,CC,0.95,0.76,0.912,955,1-148,149-519,520-955,,,,,,
TRAESCS2D03G0006300,CC,0.96,0.79,0.926,998,1-163,164-525,526-998,,,,,,
TRAESCS7A03G0145300,CC,0.94,0.77,0.906,933,1-148,149-521,522-933,,,,,,
TRAESCS2B03G0079200,CC,0.92,0.71,0.878,913,1-155,156-484,485-915,,,,,,
TRAESCSU03G0002600,CC,0.87,0.42,0.78,294,1-155,156-294,,,,,"Short NB, no LRR",,
TRAESCS2D03G0054700,CC,0.94,0.54,0.86,952,1-267,268-558,559-952,,,,"Long CC (a loop), short NB",,
TRAESCS2B03G0080800,CC,0.96,0.79,0.926,995,1-147,148-516,517-995,,,,,,
TRAESCS1B03G0771800,CC,0.77,0.42,0.7,305,1-150,151-305,,,,,"Short NB, no LRR",,
TRAESCS1B03G0772000,CC,0.86,0.44,0.776,237,1-112,113-237,,,,,"Short CC, short NB, no LRR",,
TRAESCS1A03G0679300,CC,0.96,0.73,0.914,1007,1-217,218-584,585-1007,,,,Long CC (a loop),,
TRAESCS1D03G0642800,CC,0.95,0.77,0.914,865,1-73,74-443,444-867,,,,Short CC,,
TRAESCS2B03G0081300,CC,0.93,0.55,0.854,957,1-124,125-558,559-902,903-957,,,"Short CC, C-terminal extension",,
TRAESCS2B03G0081500,CC,0.97,0.63,0.902,420,1-154,155-422,,,,,"Short NB, no LRR",,
TRAESCS2A03G0053400,CC,0.95,0.76,0.912,954,1-150,151-527,528-954,,,,,,
TRAESCS2B03G0080700,CC,0.95,0.79,0.918,939,1-150,151-517,518-939,,,,,,
TRAESCS2B03G0081600,CC,0.82,0.4,0.736,248,1-150,151-248,,,,,"Short NB, no LRR",,
TRAESCS2D03G0054100,CC,0.81,0.71,0.79,918,1-148,149-490,491-918,,,,,,
TRAESCS2D03G0054400,CC,0.95,0.77,0.914,945,1-154,155-518,519-945,,,,,,
TRAESCS2A03G0053000,CC,0.97,0.57,0.89,467,1-152,153-467,,,,,No LRR,,
TRAESCS2A03G0053200,CC,0.76,0.35,0.678,298,1-154,155-298,,,,,No LRR,,
TRAESCS2A03G0053100,CC,0.95,0.79,0.918,941,1-157,158-521,522-941,,,,,,
TRAESCSU03G0002800,CC,0.95,0.8,0.92,946,1-157,158-524,525-946,,,,,,
TRAESCS7A03G1144600,CC,0.57,0.28,0.512,293,1-152,153-293,,,,,No LRR,,
TRAESCS5D03G0824000,CC,0.96,0.77,0.922,1007,1-189,190-561,562-1007,,,,Long CC,,
TRAESCS5B03G0904500,CC,0.96,0.63,0.894,511,1-155,156-511,,,,,No LRR,,
